Date,Title,Categories,Lyrics,Tag
Feb 1,Ooruko hrudayama song lyrics – Nee Sneham(2002),Telugu Lyrics,Ooruko hrudayama song lyrics<BR><BR><BR>uruko hrudayamaa uppenai raakumaa<BR>maata manninchumaa bayatapadipokumaa<BR>cheyyetti divinche vela ni kallalo jalapaataalaa<BR>nee peru nitturpula jwaalaa pranayamaachupulo soonyame penchutu unnadi<BR>jaaligaa karugutu anubandham<BR>chelimito chaluvane panchutu unnadi<BR>jyoti gaa velugutu aanandam<BR>kalata ye kantido mamata ye kantido<BR>cheppalenannadi chempa nimire tadi<BR>cheyyetti divinche vela ni kallalo jalapaataalaa<BR>nee peru nitturpula jwaalaa pranayamaadehame verugaa snehame perugaa<BR>mandapam cherani mamakaaram<BR>pandirai pachchagaa premane penchagaa<BR>ankitam cheyanee abhimaanam<BR>nudutipai kunkumai murisipo nestamaa<BR>kallake kaatukai nilichipo swapnamaa<BR>cheyyetti diinche vela ni kallalo jalapaataalaa<BR><BR><BR><BR>film:nee sneham(2002),"Ooruko hrudayama song lyrics,Kay Kay Song Lyrics,Nee Sneham movie lyrics,R.P.Patnayak music lyrics,Sirivennela sitaramasasty song lyics,Uday kiran movie lyrics,nee sneham(2002)</p>"
Feb 1,Ye chota unna song lyrics – Nuvve Nuvve(2002),Telugu Lyrics,Ye chota unna song lyrics<BR><BR><BR>ye chota oona nee venta lena<BR>samoodramanta na kanoolo kaneeti alalavootoonte<BR>yedari anta na goondelo nitoorpoo segalavootoonte<BR>repoo leni choopoo nenai swasa leni asa nenai migalana<BR>noovve noovve kavalantoondi pade pade na pranam<BR>nine nine ventadootoo oondi prati kshanam na mooonamnela vaipoo choose neram chesavani<BR>neeli mabboo nindistoonda vana chinookooni<BR>gali venta vele maram manookomani<BR>tali teega bandistoonda male poovooni<BR>emanta papam prema preminchadam<BR>ikanaina chalinchamma vedhinchadam<BR>chelimai koorise sirivenelava kshanamai karige kalavaveloo patti nadipistoonte chanti papa la<BR>na adoogooloo adige teeram cheredela<BR>verevaro choopistoonte na prati kala<BR>kanti papa kore swapnam choosedela<BR>nakooda choteleni na manasoolo<BR>ninoo oonchagalana prema yee janmalo<BR>vetike majili dorike varakoo nadipe veloogai rava<BR><BR><BR><BR>film:nuvve nuvve(2002),"Ye chota unna song lyrics,Chitra song lyrics,Koti music lyrics,Nuvve Nuvve movie lyrics,Shreya movie lyrics,Tharun,nuvve nuvve(2002)</p>"
Jan 31,Pachandaname song lyrics – Sakhi(2001),Telugu Lyrics,Pachandaname song lyrics<BR><BR><BR>sakhiyaa….cheliyaa…<BR>kougili kougili kougili cheli pandu<BR>sakhiyaa…cheliyaa<BR>ne ompe sompe tonikina toli pandu<BR>pachamdaname pachadaname<BR>toli toli valape pachadaname<BR>pachika navvula pachadaname<BR>yedaku sammatam chelime(2)<BR>pachamdaname pachadaname<BR>yedige paruvam pachadaname<BR>ne chirunavvu pachadaname<BR>yedaku sammatam chelimekaliki chilakamma yerramukku<BR>yerramukkule pilla vaakku<BR>puvvai pusina yerra rojaa<BR>puta gulabi pasi padam<BR>yerrani rupam udike kopam(2)<BR>sandhyaavarna mantralu vinte<BR>yerrani panta padamante<BR>kanchanala jilugu pacha<BR>kondabanti goranta pacha<BR>pachaa…pachaa..pachaa…<BR>masake padite marakata varnam<BR>andam chandam aligina varnam(sakhiyaa)alale leni sagara varnam<BR>moyile leni ambara varnam<BR>mayura galame varnam<BR>gummadi puvu toli varnam<BR>udaa pu rekkalapai varnam<BR>yenno cherenee kanne gaganam<BR>nanne chere ee kanne bhuvanamratri nalupe rangu nalupe<BR>vanaakalam mottam nalupe<BR>kaki rekkallo karu nalupe<BR>kanne katuka kallu nalupe<BR>visigi pade koyila nalupe<BR>nelaambarala kuntala nalupe(2)tellani telupe yeda telipe<BR>vanalu kadigina tume telipe(tellani)<BR>irukanupapala kadha telipe<BR>uduku manasu telipe<BR>uruku manasu telipe<BR><BR><BR><BR>film:sakhi(2001),"Pachandaname song lyrics,A R Rahman Music Lyrics,Maddy Movie lyrics,Sakhi movie lyrics,Veturi Song lyrics,sakhi(2001)</p>"
Jan 31,Manohara song lyrics – Cheli(2001),Telugu Lyrics,Manohara song lyrics<BR><BR><BR>movie: cheli (2001)manohara na hrudayamune oo madhuvaniga malichinaananta<BR>rateevara aa tenelane oo tummedavai taagipommanta<BR>naa yavvaname nii paramai pulakinchee veela<BR>naa yadalo oka sukhame oogenugaa uyaalajadi vaanai priya nanne cherukommaa sruti minchutondi daaham<BR>oka paanupupai pavaliddaam …<BR>kasi kasi pandalenno enno kaasi nannu jayinchukunte nestam<BR>naa sarwaswam arpistaa …<BR>ennatiki maayadugaa chiguraaku todige ee bandham<BR>prati udayam ninu chusi chelaregipovaalee dehammanohara na hrudayamune oo madhuvaniga malichinaananta<BR>sudhakara aa tenelane oo tummedavai taagipomantaoo prema premasande vela snaanam chesi nannu cheri naa cheera kongutovolluu<BR>nuvu tudustaave madhu kaavyam …<BR>dongamalle priya priya sade leka venakaala nundi nannu<BR>hathukuntaave madhu kaavyam<BR>neekosam madilone gudi kattinaanani teliyanidaa<BR>o saari priyamaara vodi cherchukovaa nii chelini || manohara ||aaa …aaa …<BR><BR><BR><BR>singers:bombay jayasri,"Manohara song lyrics,Bombay Jayasri song lyrics,Cheli movie lyrics,Harris Jayaraj music lyrics,Madhavan movie lyrics,bombay jayasri"
Jan 30,Cheekatitho veluge song lyrics – Nenunnanu(2004),Telugu Lyrics,Cheekatitho veluge song lyrics<BR><BR><BR>cheekati to veluge cheppenu nenunnanani<BR>otamito gelupe cheppenu nenunnananinenunnanani neekemi kaadani<BR>ninnati vratani marchestaananinenunnani..tagile raallani punadi chesi edagaalani<BR>tarime vaallani hituluga talachi mundu kellalani<BR>kannula neetini kalala sagukai vaadukovalani<BR>kaale nippuni pramidaga malachi kanti panchaalani<BR>goti to dhairyam cheppenu<BR>choopu to margam cheppenu<BR>adugu to gamyam cheppenu nenunnananinenunnani…extended song :evvaru leni ontari jeevi ki todu dorikindani<BR>andaru unna aptudu nuvvai cheruvayyavani<BR>janma ku taragani anuraaganni panchutunnavani<BR>janmalu chaalani anubandhanni penchutunnavani<BR>swasa to swase cheppenu<BR>manasu to manase cheppenu<BR>prasna to badule cheppenu nenunnananinenunnanani..cheekatito..<BR><BR><BR><BR>film:nenunnanu(2004),"Cheekatitho veluge song lyrics,ChandraBose song lyrics,M.M.Keeravani music lyrics,Nagarjuna movie lyrics,Nenunnanu Movie lyrics,nenunnanu(2004)</p>"
Jan 29,Tulle Tulle song lyrics – Prema Ishq Kadhal (2013),Telugu Lyrics,Tulle Tulle song lyrics<BR><BR><BR>e moolo daagunnaa raagaale saagelaa<BR>oopirle oodheve gaalullone<BR>e poola theegallo moogaavo laagaavo<BR>oohallo oorege dhaarullone<BR>adolaa maarelaa yedhaa<BR>edholaa thelelaa<BR>madhi edho cherenaa sadhaa<BR>nee thode kore…<BR>ninne kani naa kanne ani<BR>vunnaavani naalone<BR>innaallugaa ee nenunnadi<BR>nuvvunna nela painaathulle thulle thulle<BR>pillaa ni valle<BR>olle jhalle gilleegase manase murise varase<BR>ruthuvulu marachelaa<BR>nadiche varame madhike thagile<BR>vadalaka valachenaa<BR>nee janmake naa janme jathe<BR>untaanu nee neelone<BR>nee nidake neno jaadagaa<BR>ventadanaa kaalaanne<BR>thulle thulle thulle<BR>pillaa ni valle<BR>olle jhalle gille<BR>thulle thulle thulle<BR>pillaa ni valle<BR>olle jhalle gillethalache thalape varamai geliche<BR>samayamu epudammaa<BR>adugo malupe brathuke merise yedhakika velugenaa<BR>ee bommake poyelaa mate antaanu ee padaanne<BR>unnaanule neelo chaatuga maatavvagaa maunaale<BR>thulle thulle thulle<BR>pillaa ni valle<BR>olle jhalle gille<BR>thulle thulle thulle<BR>pillaa ni valle<BR>olle jhalle gille<BR><BR><BR><BR>film:prema ishq kadal(2013),"Tulle Tulle song lyrics,Prema Ishq kadal movie lyrics,Saicharan song lyrics,Shravan music lyris,prema ishq kadal(2013)</p>"
Jan 29,Alanati ramachandrudu song lyrics – Murari (2001),Telugu Lyrics,Alanati ramachandrudu song lyrics<BR><BR><BR>alanaati raamachandrudikanninta saati<BR>aa palanaati baala chandrudi kannaa annita meti<BR>alanaati raamachandrudikanninta saati<BR>aa palanaati baala chandrudi kannaa annita meti<BR>anipinche arudaina abbaayiki manuvandi<BR>aa.. aa.. aa.. aa.. aa.. aa.. aa.. aa..<BR>teluginti paalasandramu kanipenchina koona<BR>sreehari inti deepamalle kanipinchina jaana<BR>teluginti paalasandramu kanipenchina koona<BR>sreehari inti deepamalle kanipinchina jaana<BR>atuvanti aparanji ammaayini kanarandi<BR>aa.. aa.. aa.. aa.. aa.. aa.. aa.. aa..<BR>chandamaama chandamaama kindiki choodammaa<BR>ee nelameedi nelaraajunu choosi nivverabovammaa<BR>vennelamma vennelamma vannelu chaalammaa<BR>maa annula minnaku sarigaalevani velavela bovammaaputthadi bommaku pusthelu kaduthuu purushudi munivellu<BR>pacchani medapai vecchaga raasenu chilipi rahasyaalu<BR>nelaku jaarina thaarakalai muthyaala thalambraalu<BR>iddari thalupulu muddaga thadipina thuntari jalakaalu<BR>andaala janta andari kantiki vindulu chese samayaana<BR>aa.. aa.. aa.. aa.. aa.. aa.. aa.. aa..<BR>andaala janta andari kantiki vindulu chese samayaana<BR>kalalaku dorakani kalakala jantani padimandi choodandi<BR>thalathala merisina aanandapu thadi choopula akshithaleyandi<BR>chandamaama chandamaama kindiki choodammaa<BR>ee nelameedi nelaraajunu choosi nivverabovammaa<BR>vennelamma vennelamma vannelu chaalammaa<BR>maa annula minnaku sarigaalevani velavela bovammaaseethaaraamula kalyaanamlaa kanipisthuu unnaa<BR>viragaledu aa shivuni villu ee pelli mandapaana<BR>gowreeshankarulekamaina sumuhoorthamalle unnaa<BR>maragaledu manmadhuni ollu ee challani samayaana<BR>devulla pelli vedukalaina intha ghanamgaa jarigenaa<BR>aa.. aa.. aa.. aa.. aa.. aa.. aa.. aa..<BR>devulla pelli vedukalaina intha ghanamgaa jarigenaa<BR>anukoni kanivini erugani pelliki janamanthaa raarandi<BR>thadupari kaburula vivaramuladagaka bandhuvulanthaa kadalandi<BR>chandamaama chandamaama kindiki choodammaa<BR>ee nelameedi nelaraajunu choosi nivverabovammaa<BR>vennelamma vennelamma vannelu chaalammaa<BR>maa annula minnaku sarigaalevani velavela bovammaa<BR><BR><BR><BR>film:murari(2001),"Alanati ramachandrudu song lyrics,Mahesh Babu,Manishama music lyrics,Murari movie lyrics,Sirivennela sitaramasasty song lyics,Sonali Bendre movie lyrics,murari(2001)</p>"
Jan 29,Nandalala Song lyrics – Mukundha(2014),Telugu Lyrics,Nandalala Song lyrics<BR><BR><BR>nandalala enduki vela intha kalathandanala thandava leela chaangubhala<BR>punnamilo sandramula ullamu jhalluna ponginadhe<BR>oopirilo mounamila pillanagrovila moginade<BR>oohallo sambaram ooerege utsavam<BR>yadho pilupu vindha yeto thelusukundha<BR>ate nadapamandha padha oo mukundanandalala endukivela intha kala<BR>thandanala thaandava leela chaangu bhalaooyale ooguthu endhuko utsaham haan haan<BR>atu itu thooguthu emito sandeham<BR>kale nijamayinda nuvvai rujuvayindha<BR>adhe nammamandha madhe oo mukundaneevu naa swechavai veedani cherasala.. haa.. haa<BR>nenu nee gelupunai veyani varamala<BR>maree vayasu antha maha baruvayyindha<BR>sagam panchamandha..aa.. sare oo mukundanandalaalaa endukivela intha kala<BR>thandanala thandava leela chaangu bhala<BR><BR><BR><BR>film:mukundha(2014),"Nandalala Song lyrics,Mickey J Meyer Music lyrics,Mukundha movie lyrics,Sirivennela sitaramasasty song lyics,Varun tej movie lyrics,mukundha(2014)</p>"
Jan 28,Nelluri Nerajana Song lyrics – Okeokkadu(1999),Telugu Lyrics,Nelluri Nerajana Song lyrics<BR><BR><BR>nelluri nerajana song<BR>nelloori nerajaana ne kunkumalle maariponaa<BR>nuvvu snaanamaade pasupu laaga nannu koncham poosukove<BR>nee andelaku muvvalaaga nannu koncham maarchukove<BR>nelloori nerajaana ne kunkumalle maariponaa<BR>nuvvu snaanamaade pasupu laaga nannu koncham poosukove<BR>nee andelaku muvvalaaga nannu koncham maarchukove<BR>oka kanta neerolakaa pedaventa osuralakaa<BR>nee valla oka pari jananam oka pari maranam ayinadi<BR>adi paareti selayeru ala sandraana kalisniattu gunde nee<BR>todugaa ventaadene<BR>kaalu marichi adavi chettu poosenule||nellori nerajaana||jonna kanki dhoole padinattu kannulalo doori tolachitive<BR>teega vachhina mallikave oka maaru navvutu baduleeve<BR>pedavipai pedavunchi maatalanu jurrukoni vellato vattina<BR>medapai ragilina taapaminka poledu<BR>are meriseti rangu needi nee andaanikeduredi nuvvu taake<BR>chota<BR>kaipekkule ika vollu mottam cheyyavalenu punyamule||nelloori nerajaana||oka gadiya kougili bigiyinchi naa oopiraapave o cheliyaa<BR>nee gunde logili ne cheraa nannu koncham hattuko<BR>chelikaadaa<BR>chinukanti chirumaataa veluganti aa choopu dehaminka<BR>mattilo kalisi poyevaraku orchuno<BR>praanam naa chentanundangaa nuvu maraninchipovutela<BR>are nee jeevame nenenayya sampadalaku maranamaina<BR>maayamayaa||nelloori nerajaana||<BR><BR><BR><BR>film:okeokkadu(1999),"Nelluri Nerajana Song lyrics,AM Rathnam & Siva Ganesh Song lyrics,AR Rahman music lyrics,Arjun & Manisha koyirala Song lyrics,Okeokkadu Movie lyrics,okeokkadu(1999)</p>"
Jan 28,Naalo nenena song lyrics – Banam (2009),Telugu Lyrics,"Naalo nenena song lyrics<BR><BR><BR>(naalo nenena, edo annana<BR>naatho ne leni mai marapuna..<BR>emo annanemo, nuvu vinavemo<BR>chinna maata edo ninnu adagana..) – 2<BR>ala saagipotunna naalona<BR>edenti ila kotha aalochana<BR>manase naadi maate needi, edi emi maayo..<BR>naalo nenena, edo annana<BR>naatho ne leni mai marapuna..<BR>emo annanemo nuvu vinavemo<BR>chinna maata edo ninnu adagana..<BR><BR>avunu kadu thadabatuni, antho into gadi datani<BR>vidi vidiponi paradaani, palukai raani praanani<BR>yeda antha padaalona palikena<BR>na mouname prema aalapana<BR>manasee naadi maate needi.., ede maayo..<BR>naalo nenena, edo annana<BR>naatho ne leni mai marapuna..<BR>emo annanemo nuvu vinavemo<BR>chinna maata edo ninnu adagana..daivam varamai dorikindani na sagamai kalisindani<BR>melakuva kaani hrudayaani, chiguraiponi sisiraanni<BR>neetho chelimi chestunna nimishaalu<BR>nooreluga yedigi poyayi ila<BR>maname sakshyam, mate mantram, preme bandham<BR>naalo nenena, edo annana<BR>naatho ne leni mai marapuna..<BR>emo annanemo nuvu vinavemo<BR>chinna maata edo ninnu adagana<BR><BR><BR><BR>film:baanam (2009)","Naalo nenena song lyrics,Baanam Movie lyrics,Manishama music lyrics,Nara Rohith Movie lyrics,Ramajogayya Sastry Song lyrics,baanam (2009)</p>"
