Date,Title,Categories,Lyrics,Tag
Apr 2,Dil dhundhata hai Lyrics – Mausam,Hindi Lyrics,Dil dhundhata hai Lyrics<BR><BR><BR>lyrics: dil dhundhata hai<BR>film: mausam<BR>music: madan mohan<BR>lyricist: gulzar<BR> <BR>dil dhundhata hai phir vahi furasat ke rat din (2)<BR>baithe rahe tasavurejanan kiye hue<BR>dil dhundhata hai phir vahi furasat ke rat dinjadon ki narm dhup aur angan men let kar (2)<BR>ankhon pe khinchakar tere anchal ke sae ko<BR>aundhe pade rahe kabhi karavat liye hue<BR>dil dhundhata hai phir vahi furasat ke rat dinya garamiyon ki rat jo puravaiyan chalen (2)<BR>thandi safed chadaron pe jagen der tak<BR>taron ko dekhate rahen chat par pade hue<BR>dil dhundhata hai phir vahi furasat ke rat dinbarfili sardiyon men kisi bhi pahad par (2)<BR>vadi men gunjati hui khamoshiyan sunen<BR>ankhon men bhige bhige se lamhe liye hue<BR>dil dhundhata hai phir vahi furasat ke rat din<BR><BR><BR><BR>,"Dil dhundhata hai Lyrics,Gulzar song lyrics,Mausam film lyrics,Mausam lyrics,Mausam movie lyrics,Mausam songs"
Apr 1,Javaniyan ye mast Lyrics – Tumsa Nahin Dekha,Hindi Lyrics,Javaniyan ye mast Lyrics<BR><BR><BR>lyrics: javaniyan ye mast<BR>film: tumsa nahin dekha<BR>music: o p nayyar<BR>lyricist: majrooh sultanpuri<BR> <BR>javaniyan ye mast mast bin piye<BR>jalati chal rahi hai rah men diye<BR>na jane inamen kisake vaste hun main<BR>na jane inamen kaun hain mere liye<BR>mere liye mere liye 2sabhi hansin sabhi javan<BR>kahan pe dil ko hariye<BR>sabhi hain dil ke mehaman<BR>kise kise pukariye<BR>javaniyan ye mast mastdivane ham the chah ke<BR>to beqarar ho liye<BR>ke dur ki nigah ke<BR>gunahagar ho liye<BR>javaniyan ye mast mast<BR><BR><BR><BR>,"Javaniyan ye mast Lyrics,Majrooh Sultanpuri song lyrics,Tumsa Nahin Dekha film lyrics,Tumsa Nahin Dekha lyrics,Tumsa Nahin Dekha movie lyrics,Tumsa Nahin Dekha songs"
Mar 31,Madhuban men jo Lyrics – Lagaan,Hindi Lyrics,"Madhuban men jo Lyrics<BR><BR><BR>lyrics: madhuban men jo<BR>film: lagaan<BR>music: a. r. rahman<BR>lyricist: javed akhtar<BR> <BR>madhuban men jo kanhaiya kisi gopi se mile<BR>kabhi muskaye, kabhi chede kabhi bat kare<BR>radha kaise na jale, radha kaise na jale<BR>ag tan men lage<BR>radha kaise na jale, radha kaise na jalemadhuban men bhale kanha kisi gopi se mile<BR>man men to radha ke hi prem ke hain phul khile<BR>kis liye radha jale, kis liye radha jale<BR>bina soche samajhe<BR>kis liye radha jale, kis liye radha jalegopiyan tare hain chand hai radha<BR>phir kyon hai us ko vi{sh}vas adha<BR>kanha ji ka jo sada idhar udhar dhyan rahe<BR>gopiyan anijani hain<BR>radha to man ki rani hai<BR>sanjh sakhare, jamuna kinare<BR>radha radha hi kanha pukare<BR>bahon ke har jo dale koi kanha ke gale<BR>radha kaise na jaleman men hai radhe ko kanha jo basaye<BR>to kanha kahe ko use na basaye<BR>prem ki apani alag boli alag bhasha hai<BR>bat nainon se ho, kanha ki yahi asha hai<BR>kanha ke ye jo naina naina hain<BR>chinen gopiyon ke chaina hain<BR>mili najariya hui banvariya<BR>gori gori si koi gujariya<BR>kanha ka pyar kisi gopi ke man men jo pale<BR>kis liye radha jale, radha jale, radha jale<BR>radha kaise na jale<BR><BR><BR><BR>","Madhuban men jo Lyrics,Javed Akhtar song lyrics,Lagaan film lyrics,Lagaan lyrics,Lagaan movie lyrics,Lagaan songs"
Mar 30,Lagi aj sawan Lyrics – Chandni,Hindi Lyrics,Lagi aj sawan Lyrics<BR><BR><BR>lyrics: lagi aj sawan<BR>film: chandni<BR>music: shiv hari<BR>lyricist: anand bakshi<BR> <BR>lagi aj sawan ki fir wo jhadi hai<BR>wahi ag sine men fir jal padi haikuch aise hi din the wo jab ham mile the<BR>chaman men nahin ful dil men khile the<BR>wahi to hai mausam magar rut nahin wo<BR>mere sath barasat bhi ro padi haikoi kash dil pe zara hath rakh de<BR>mere dil ke tukadon ko ek sath rakh de<BR>magar ye hai khwabon khayalon ki baten<BR>kabhi tut kar chiz koi judi hai<BR><BR><BR><BR>,"Lagi aj sawan Lyrics,Anand Bakshi song lyrics,Chandni film lyrics,Chandni lyrics,Chandni movie lyrics,Chandni songs"
Mar 29,"Agar bevafa, tumako Lyrics – Raat Ke Andhere Me",Hindi Lyrics,"Agar bevafa, tumako Lyrics<BR><BR><BR>lyrics: agar bevafa, tumako<BR>film: raat ke andhere me<BR>music: prem dhawan<BR>lyricist: prem dhawan<BR> <BR>agar bevafa, tumako pahachan jate<BR>kuda ki qasam ham muhabat na karate<BR>jo malum hota, ye ilazameulafat<BR>to dil ko lagane ki zurat na karatejinhen tumane samajha meri bevafai<BR>meri zindagi ki vo majaburiyan thin<BR>hamari muhabat ik imtihan thi<BR>ye do din ki thodi si jo duriyan thin<BR>agar sachchi hoti muhabat hamari<BR>to ghabara ke tum yun shikayat na karatejo ham par hai guzari hamin janate hain<BR>sitam kaun sa hai nahin jo uthaya<BR>nigahon men phir bhi rahi teri surat<BR>har ek sans men tera paigam aya<BR>agar janate tum hi ilazam doge<BR>to bhule se bhi ham to ulafat na karate<BR><BR><BR><BR>","Agar bevafa,tumako Lyrics,Prem Dhawan song lyrics,Raat Ke Andhere Me film lyrics,Raat Ke Andhere Me lyrics,Raat Ke Andhere Me movie lyrics,Raat Ke Andhere Me songs"
Mar 28,"O mere, dil Lyrics – Mere Jeevan Saathi",Hindi Lyrics,"O mere, dil Lyrics<BR><BR><BR>lyrics: o mere, dil<BR>film: mere jeevan saathi<BR>music: r d burman<BR>lyricist: majrooh sultanpuri<BR> <BR>o mere, dil ke chain,<BR>chain ae mere dil ko dua kijiyeapana hi saya dekh ke tum jane jahan sharama gae<BR>abhi to ye pahali manzil hai, tum to abhi se ghabara gae<BR>mera kya hoga, socho to jara<BR>hay aise na anhen bhara kijiye<BR>o mere dil ke chainapaka araman apaka nam, mera tarana aur nahin<BR>in jhukati palako ke siva, dil ka thikana aur nahin<BR>janchata hi nahin ankho men koi<BR>dil tumako hi chahe to kya kijiye<BR>o mere dil ke chainyun to akela hi aqasar, gir ke sambhal sakata hun main<BR>tum jo pakad lo hath mera, duniya badal sakata hun main<BR>manga hai tumhen duniya ke liye<BR>ab kud hi sanam faisala kijiye<BR>o mere dil ke chain<BR><BR><BR><BR>","O mere,dil Lyrics,Majrooh Sultanpuri song lyrics,Mere Jeevan Saathi film lyrics,Mere Jeevan Saathi lyrics,Mere Jeevan Saathi movie lyrics,Mere Jeevan Saathi songs"
Mar 27,Tu man shudhi Lyrics – Raanjhanaa,Hindi Lyrics,"Tu man shudhi Lyrics<BR><BR><BR>lyrics: tu man shudhi<BR>film: raanjhanaa<BR>music: a. r. rahman<BR>lyricist: irshad kamil<BR> <BR>tu man shudhi, tu man shudhi<BR>man tu shudam, tu man shudhi<BR>tu man shudhi, tu man shudhi<BR>man tu shudam, tu man shudhi<BR>rang le rangile ne ladke bade<BR>rang de hawa va di koi to chadhe<BR>hai nidar dil da safar<BR>ho nidar dil de hamsafar raj ke<BR>hamse wafaye lena taja hawaye lena<BR>hamse wafaye lena<BR>tu man shudhi, tu man shudhi<BR>man tu shudam, tu man shudhitadpaye kyu aeve talab se<BR>naino se pi ya pi tu lab se<BR>par na tu jhutha pyar kari<BR>yar dari ye rab se<BR>changi saugate hai sachchi mulakate<BR>mohabato ki bate bole di ye dilbar kab se<BR>tu man shudhi, tu man shudhi<BR>man tu shudam, tu man shudhi<BR>hamse wafaye lena taja hawaye lena<BR>tere layi ham chand kharidenge<BR>ha bangala na denge har chain ko la denge<BR>sab aunde sanu ehoje kartab ne<BR>hamse wafaye lena taja hawaye lena<BR>hamse wafaye lena taja hawaye lenaha dil ke kise me jo din hai hise me<BR>laye jayenge paye jayenge layenge<BR>wo dil se hata de fikre, bhula de fikre<BR>jala de bijure ae yara sang a a<BR>jaha khwabo ka tu ga<BR>jisme hoga sab jinda shehar bhi dil ke manega<BR>khul kar sase lega bashinda<BR>tu man shudhi, tu man shudhi<BR>man tu shudam, tu man shudhi<BR>tu man shudhi, tu man shudhi<BR>man tu shudam, tu man shudhi<BR>hamse wafaye lena taja hawaye lena<BR>dil di duwaye lena, sansat ki rahe lena<BR>badli fijaye lena, sachchi adaye lena<BR>hamse wafaye lena taja hawaye lena<BR><BR><BR><BR>","Tu man shudhi Lyrics,Irshad Kamil Song lyrics,Raanjhanaa film lyrics,Raanjhanaa lyrics,Raanjhanaa movie lyrics,Raanjhanaa songs"
Mar 26,Ankhon ko teri Lyrics – Baar Baar Dekho,Hindi Lyrics,"Ankhon ko teri Lyrics<BR><BR><BR>lyrics: ankhon ko teri<BR>film: baar baar dekho<BR>music: amaal mallik<BR>lyricist: kumaar<BR> <BR>ankhon ko teri adat hai,<BR>tu dikhe na toh inhe shiqayat hai,(x2)bin chuye chu liye hain,<BR>tune mujhko diye hain,<BR>pyar ke ye tarane janiya,yeh jo ab ho raha hai,<BR>kuch ajab ho raha hai,<BR>kya yehi pyar ka hai ehsas,sau asmano ko aur do jahano ko,<BR>chod ke ayi tere pas,(x3)jane kya hone laga,<BR>mujhko nahi hai khabar,<BR>kyu nend se dor yeh,<BR>jane lagi hai nazar,chodo yeh sari batein,<BR>ab mili hain jo ratein,<BR>inhe jane na dena janiya,yeh jo ab ho raha hai,<BR>kuch ajab ho raha hai,<BR>kya yehi pyar ka hai ehsas,sau asmano ko aur do jahano ko,<BR>chod ke ayi tere pas,(x2)ankhon ko teri adat hai,<BR>tu dikhe na toh inhe shiqayat hai,bin chuye chu liye hain,<BR>tune mujhko diye hain,<BR>pyar ke ye tarane janiya,yeh jo ab ho raha hai,<BR>kuch ajab ho raha hai,<BR>kya yehi pyar ka hai ehsas,sau asmano ko aur do jahano ko,<BR>chod ke ayi tere pas,(x3)<BR><BR><BR><BR>","Ankhon ko teri Lyrics,Baar Baar Dekho film lyrics,Baar Baar Dekho lyrics,Baar Baar Dekho movie lyrics,Baar Baar Dekho songs,Kumaar song lyrics"
Mar 25,Nagamaosher ki saugat Lyrics – Ghazal,Hindi Lyrics,Nagamaosher ki saugat Lyrics<BR><BR><BR>lyrics: nagamaosher ki saugat<BR>film: ghazal<BR>music: madan mohan<BR>lyricist: sahir ludhianvi<BR> <BR>nagamaosher ki saugat kise pesh karun<BR>ye chalakate hue jazabat kise pesh karunshok ankhon ke ujalon ko lutaun kis par<BR>mast zulfon ki siyah rat kise pesh karungarm sanson men chipe raz bataun kisako<BR>narm hothon men dabi bat kise pesh karunkoi hamaraz to paun koi hamadam to mile<BR>dil ki dhadakan ke isharat kise pesh karun<BR><BR><BR><BR>,"Nagamaosher ki saugat Lyrics,Ghazal film lyrics,Ghazal lyrics,Ghazal movie lyrics,Ghazal songs,Sahir Ludhianvi song lyrics"
Mar 24,Bahar se koi Lyrics – Bobby,Hindi Lyrics,"Bahar se koi Lyrics<BR><BR><BR>lyrics: bahar se koi<BR>film: bobby<BR>music: laxmikant-pyarelal<BR>lyricist: anand bakshi<BR> <BR>bahar se koi andar na a sake<BR>andar se koi bahar na ja sake<BR>socho kabhi aisa ho to kya ho<BR>socho kabhi aisa ho to kya hoham tum, ik kamare men band hon<BR>aur chabhi kho jaye<BR>tere nainon ke bhul bhulaiya men<BR>bacbi kho jaye<BR>ham tumage ho ghanaghor andhera<BR>baba mujhe dar lagata hai<BR>piche koi daku lutera<BR>un, kyon dara rahe ho<BR>age ho ghanaghor andhera<BR>piche koi daku lutera<BR>upar bhi jana ho mushakil<BR>niche bhi ana ho mushakil<BR>socho kabhi aisa ho to kya ho<BR>socho kabhi aisa ho to kya ho<BR>ham tum kahin ko ja rahe hon<BR>aur rasta bhul jaye<BR>tere bainya ke jhule men sinya<BR>bacbi jhul jaye<BR>ham tumbasti se dur, parabat ke piche<BR>masti men chur ghane pedon ke niche<BR>andekhi anjani si jagah ho<BR>bas ek ham ho aur duji hava ho<BR>socho kabhi aisa ho to kya ho<BR>socho kabhi aisa ho to kya ho<BR>ham tum ek jangal se guzare<BR>aur sher a jaye<BR>sher se kahun tumako chod ke<BR>mujhe kha jaye<BR>ham tumaise kyon khoye hue ho<BR>jage ho ki soye hue ho<BR>kya hoga kal kisako khabar hai<BR>thoda sa mere dil men ye dar hai<BR>socho kabhi aisa ho to kya ho<BR>socho kabhi aisa ho to kya ho<BR>ham tum, yun hi hans khel rahe hon<BR>aur ankh bhar aye<BR>tere sar ki qasam tere gam se<BR>bacbi mar jaye<BR>ham tum<BR><BR><BR><BR>","Bahar se koi Lyrics,Anand Bakshi song lyrics,Bobby film lyrics,Bobby lyrics,Bobby movie lyrics,Bobby songs"
