Date,Title,Categories,Lyrics,Tag
,Say you won’t let go Lyrics - James arthur,English Lyrics,"[Verse 1]<BR>I met you in the dark, you lit me up<BR>You made me feel as though I was enough<BR><BR>We danced the night away, we drank too much<BR>I held your hair back when you were throwin' up<BR><BR><BR>[Pre-Chorus]<BR>Then, you smiled over your shoulder<BR>For a minute, I was stone-cold sober<BR>I pulled you closer to my chest<BR>And you asked me to stay over<BR>I said, ""I already told ya<BR>I think that you should get some rest""<BR><BR><BR>Ken Carson 'Freestyle 2' Official Lyrics & Meaning | Verified<BR>[Chorus]<BR>I knew I loved you then, but you'd never know<BR>'Cause I played it cool when I was scared of letting go<BR>I knew I needed you, but I never showed<BR>But I wanna stay with you until we're grey and old<BR><BR><BR>[Post-Chorus]<BR>Just say you won't let go<BR>Just say you won't let go<BR><BR>[Verse 2]<BR>I'll wake you up with some breakfast in bed<BR>I'll bring you coffee with a kiss on your head<BR><BR>And I'll take the kids to school, wave them goodbye<BR>And I'll thank my lucky stars for that night<BR><BR><BR>[Pre-Chorus]<BR>When you looked over your shoulder<BR>For a minute, I forget that I'm older<BR>I wanna dance with you right now, woah<BR><BR>And you look as beautiful as ever<BR>And I swear that every day, you'll get better<BR>You make me feel this way somehow<BR><BR><BR>[Chorus]<BR>I'm so in love with you and I hope you know<BR>Darlin', your love is more than worth its weight in gold<BR>We've come so far, my dear, look how we've grown<BR>And I wanna stay with you until we're grey and old[Post-Chorus]<BR>Just say you won't let go<BR>Just say you won't let go<BR><BR>[Bridge]<BR>I wanna live with you even when we're ghosts<BR>'Cause you were always there for me when I needed you most<BR><BR><BR>[Chorus]<BR>I'm gonna love you till my lungs give out<BR>I promise till death we part, like in our vows<BR>So, I wrote this song for you, now everybody knows<BR>That it's just you and me till we're grey and old<BR><BR><BR>[Post-Chorus]<BR>Just say you won't let go<BR>Just say you won't let go<BR>Just say you won't let go<BR>Oh, just say you won't let go","Say you won’t let go Lyrics - James arthur,R&B,Pop,UK Pop,UK R&B,Alternative R&B,Adult Contemporary,Easy Listening,Acoustic,Singer-Songwriter,Ballad,UK"
,Kill bill Lyrics - Sza,English Lyrics,"[Verse 1]<BR>I'm still a fan even though I was salty<BR>Hate to see you with some other broad, know you happy<BR>Hate to see you happy if I'm not the one drivin'<BR><BR><BR>[Pre-Chorus]<BR>I'm so mature, I'm so mature<BR><BR>I'm so mature, I got me a therapist to tell me there's other men<BR><BR>I don't want none, I just want you<BR>If I can't have you, no one should, I might<BR><BR>Ken Carson 'Freestyle 2' Official Lyrics & Meaning | Verified<BR>[Chorus]<BR>I might kill my ex, not the best idea<BR>His new girlfriend's next, how'd I get here?<BR>I might kill my ex, I still love him, though<BR><BR>Rather be in jail than alone<BR><BR><BR>[Verse 2]<BR>I get the sense that it's a lost cause<BR>I get the sense that you might really love her<BR>The text gon' be evidence, this text is evidence<BR>I try to ration with you, no murders, no crime of passion<BR>But, damn, you was out of reach<BR>You was at the farmer's market with your perfect peach<BR><BR>Now I'm in amazement, playin' on my patience<BR>Now you layin' face-down, got me singin' over a beat<BR><BR>[Pre-Chorus]<BR>I'm so mature, I'm so mature<BR><BR>I'm so mature, I got me a therapist to tell me there's other men<BR><BR>I don't want none, I just want you<BR>If I can't have you, no one will, I (I might)<BR><BR>[Chorus]<BR>I might kill my ex, not the best idea<BR>His new girlfriend's next, how'd I get here?<BR>I might kill my ex, I still love him, though<BR><BR>Rather be in jail than alone[Bridge]<BR>I did it all for love (Love)<BR>I did it all on no drugs (Drugs)<BR>I did all of this sober<BR>I did it all for us, oh<BR>I did it all for love (Love)<BR>I did all of this on no drugs (Drugs)<BR>I did all of this sober<BR>Don't you know I did it all for us? (I'm gon' kill your ass tonight)<BR><BR><BR>[Chorus]<BR>Oh, I just killed my ex, not the best idea (Idea)<BR>Killed his girlfriend next, how'd I get here?<BR>I just killed my ex, I still love him, though (I do)<BR><BR>Rather be in hell than alone","Kill bill Lyrics - Sza,Pop,Alternative R&B,Alternative Pop,Psychedelic,Bedroom Pop,Trip-Hop"
,Heaven Lyrics - Niall horan,English Lyrics,"[Verse 1]<BR>Strange light revolves around you<BR>You float across the room<BR><BR>Your touch is made of something<BR>Heaven can't hold a candle to<BR><BR>You're made of something new<BR>Let's not get complicated<BR>Let's just enjoy the view<BR>It's hard to be a human<BR>So much to put an answer to<BR>But that's just what we do<BR><BR>Ken Carson 'Freestyle 2' Official Lyrics & Meaning | Verified<BR>[Chorus]<BR>God only knows where this could go<BR>And even if our love starts to grow out of control<BR>And you and me go up in flames<BR>Heaven won't be the same<BR><BR><BR>[Verse 2]<BR>I'm having revelations<BR>You dance across the floor<BR>Beyond infatuation<BR>How I obsessively adore you<BR>That's what I do<BR><BR>[Pre-Chorus]<BR>I believe, I believe<BR>I could die in your kiss<BR>No, it doesn't get, doesn't get<BR>Better than this<BR><BR>[Chorus]<BR>God only knows where this could go<BR>And even if our love starts to grow out of control<BR>And you and me go up in flames<BR>Heaven won't be the same<BR>God only knows where this could go<BR>And even if our love starts to grow out of control<BR>And you and me go up in flames<BR>Heaven won't be the same[Post-Chorus]<BR>(Heaven won't be the same)<BR><BR>[Pre-Chorus]<BR>I believe, I believe<BR>I could die in your kiss<BR>No, it doesn't get, doesn't get<BR>Better than, better than this<BR><BR>[Chorus]<BR>God only knows where this could go<BR>And even if our love starts to grow out of control (Even if our love)<BR>And you and me go up in flames<BR>Heaven won't be the same<BR>God only knows where this could go<BR>And even if our love starts to grow out of control<BR>And you and me go up in flames<BR>Heaven won't be the same","Heaven Lyrics - Niall horan,Pop,Ireland"
,Until i found you Lyrics - Stephen sanchez,English Lyrics,"[Verse 1: Stephen Sanchez]<BR>Georgia<BR>Wrap me up in all your—<BR><BR>I want ya<BR>In my arms, oh, let me<BR>Hold ya<BR>I'll never let you go again<BR>Like I did<BR>Oh, I used to say<BR><BR>[Chorus: Stephen Sanchez & Georgia Brown]<BR>""I would never fall in love again until I found her""<BR><BR>I said, ""I would never fall, unless it's you I fall into""<BR>I was lost within the darkness, but then I found her<BR><BR>I found you<BR><BR>Ken Carson 'Freestyle 2' Official Lyrics & Meaning | Verified<BR>[Verse 2: Stephen Sanchez & Georgia Brown]<BR>Georgia<BR>Pulled me in, I asked to<BR>Love her<BR>Once again, you fell, I<BR>Caught ya<BR>I'll never let you go again<BR>Like I did<BR>Oh, I used to say<BR><BR>[Chorus: Stephen Sanchez & Georgia Brown]<BR>""I would never fall in love again until I found her""<BR><BR>I said, ""I would never fall unless it's you I fall into""<BR>I was lost within the darkness, but then I found her<BR><BR>I found you<BR><BR>[Guitar Solo]<BR><BR>[Chorus: Stephen Sanchez & Georgia Brown]<BR>""I would never fall in love again until I found her""<BR><BR>I said, ""I would never fall unless it's you I fall into""<BR>I was lost within the darkness, but then I found her<BR><BR>I found you","Until i found you Lyrics - Stephen sanchez,Pop,Acoustic,Ballad,Singer-Songwriter,Bedroom Pop,Soft Rock,Alternative Pop,Alternative"
,Work Lyrics - Rihanna,English Lyrics,"[Chorus: Rihanna]<BR>Work, work, work, work, work, work<BR>He said me haffi<BR>Work, work, work, work, work, work<BR>He see me do mi<BR>Dirt, dirt, dirt, dirt, dirt, dirt<BR>So me put in<BR>Work, work, work, work, work, work<BR>When you ah guh<BR>Learn, learn, learn, learn, learn?<BR>Me nuh cyar if him<BR>Hurt, hurt, hurt, hurt, hurting<BR><BR><BR>Ken Carson 'Freestyle 2' Official Lyrics & Meaning | Verified<BR>[Verse 1: Rihanna]<BR>Dry! Me ah desert him<BR>Nuh time to have you lurking<BR>Him ah go act like he nuh like it<BR>You know I dealt with you the nicest<BR><BR>Nuh body touch me, you nuh righteous<BR>Nuh badda, text me in a crisis<BR><BR>I believed all of your dreams, adoration<BR>You took my heart and my keys and my patience<BR><BR>You took my heart on my sleeve for decoration<BR><BR>You mistaken my love I brought for you for foundation<BR>All that I wanted from you was to give me<BR>Something that I never had<BR>Something that you've never seen<BR>Something that you've never been<BR><BR>Mmmmm<BR>But I wake up and act like nothing's wrong<BR>Just get ready fi<BR><BR><BR>[Chorus: Rihanna]<BR>Work, work, work, work, work, work<BR>He said me haffi<BR>Work, work, work, work, work, work<BR>He see me do mi<BR>Dirt, dirt, dirt, dirt, dirt, dirt!<BR>So me put in<BR>Work, work, work, work, work, work<BR><BR>Ner, ner, ner, ner, ner, ner<BR>When yuh ago learn, learn, learn, learn, learn, learn?<BR>Before the tables turn, turn, turn, turn, turn, turn[Verse 2: Rihanna]<BR>Beg you something, please<BR>Baby, don't you leave<BR>Don't leave me stuck here in the streets, uh-huh<BR>If I get another chance to<BR>I will never, no, never neglect you<BR><BR>I mean, who am I to hold your past against you?<BR><BR>I just hope that it gets to you<BR>I hope that you see this through<BR>I hope that you see this true<BR>What can I say?<BR>Please recognize I'm tryin', babe<BR>I have to<BR><BR><BR>[Chorus: Rihanna]<BR>Work, work, work, work, work, work<BR>He said me haffi<BR>Work, work, work, work, work, work<BR>He see me do mi<BR>Dirt, dirt, dirt, dirt, dirt, dirt<BR>So me put in<BR>Work, work, work, work, work, work<BR>When you ah guh<BR>Learn, learn, learn, learn, learn?<BR>Me nuh cyar if him<BR>Hurt, hurt, hurt, hurt, hurting[Verse 3: Drake with Rihanna]<BR>Yeah, okay<BR>You need to get done, done, done, done at work, come over<BR><BR>We just need to slow the motion<BR><BR>Don't give that away to no one<BR>Long distance, I need you<BR>When I see potential, I just gotta see it through<BR>If you had a twin, I would still choose you<BR><BR>I don't wanna rush into it if it's too soon<BR><BR>But I know you need to get done, done, done, done<BR>If you come over<BR><BR>Sorry if I'm way less friendly<BR>I got niggas tryna end me, oh (Yeah)<BR><BR>I spilled all my emotions tonight, I'm sorry<BR><BR>Rollin', rollin', rollin', rollin', rollin'<BR>How many more shots until you're rollin'?<BR><BR>We just need a face-to-face<BR>You could pick the time and the place<BR>You spent some time away<BR>Now you need to forward and give me all the<BR><BR><BR>[Chorus: Rihanna & Drake]<BR>Work, work, work, work, work, work<BR>He said me haffi<BR>Work, work, work, work, work, work<BR>He see me do mi<BR>Dirt, dirt, dirt, dirt, dirt, dirt<BR>So me put in<BR>Work, work, work, work, work, work<BR>When you ah guh<BR>Learn, learn, learn, learn, learn?<BR>Me nuh cyar if him<BR>Hurt, hurt, hurt, hurt, hurting<BR><BR><BR>[Outro: Rihanna]<BR>Mmmmm, mmmmm<BR>Mmmmm, mmmmm<BR>Work, work, work, work, work, work<BR>Mmmmm, mmmmm<BR><BR><BR>[Click here to learn more about the making of ""Work""]<BR><BR><BR>[Produced by Boi-1da]","Work Lyrics - Rihanna,Pop,R&B,Jamaica,Pop-R&B,Contemporary R&B,Pop Rap,Patois,Dancehall"
