Date,Title,Categories,Lyrics,Tag
LiTek & WhYJay,"Doja Lyrics - July 21, 2022",English Lyrics,"Doja Lyrics - July 21, 2022 <BR><BR><BR>[Chorus]<BR>How can I be homophobic? My bitch is gay<BR>Hit man in the top, try see a man topless, even the stick is gay<BR>Huggin' my bruddas and say that I love them, but I don't swing that way<BR>The mandem celebrate Eid, the trap still runnin' on Christmas day<BR><BR>[Verse]<BR>Somebody tell Doja Cat that I'm tryna indulge in that<BR>In my grey tracksuit, see the bulge in that<BR>See the motion clap when you're throwin' it back (When you're throwin' it back)<BR>These females plannin' on doin' me wrong<BR>So I'm grabbin' a 'dom out the Trojan pack<BR>Post the location after we're gone<BR>Can't slip and let them know where we're at<BR>I don't know about you, but I valuе my life (But I value my life)<BR>'Causе imagine I die (Die)<BR>And I ain't made a hundred M's yet<BR>There's so much things I ain't done yet<BR>Like fuckin' a flight attendant, huh<BR>I don't party, but I heard Cardi there, so fuck it, I might attend it<BR>Gotta kick back sometimes and wonder<BR>How life would've been if I never did take them risks and would have I prospered?<BR>Floatin' and I won't go under<BR>Been outta town for a month<BR>Absence made the love grow fonder<BR>UK rap or UK drill, gotta mention my name if you talk 'bout the genre (Alright)<BR><BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Chorus]<BR>Ho-ho-how can I be homophobic? (My bitch is gay)<BR>Hit man in the top, try see a man topless, even the stick is gay<BR>Huggin' my bruddas and say that I love them, but I don't swing that way (Way)<BR>The mandem celebrate Eid, the trap still runnin' on Christmas day<BR>Ho-ho-how can I be homophobic? My bitch is gay<BR>Hit man in the top, try see a man topless, even the stick is gay<BR>Huggin' my bruddas and say that I love them, but I don't swing that way<BR>The mandem celebrate Eid, the trap still runnin' on Christmas day<BR><BR><BR><BR>Produced By:LiTek & WhYJay<BR>Written By:Central Cee, LiTek & WhYJay<BR>Assistant Engineer:Ferrenzo<BR>Mastered at:Signature Studios<BR>Mastering Engineer:Sean D<BR>Video Jib Tech:Dave “Magic” Fauvrelle<BR>Video Jib Operator:Mike Drury<BR>Video Grip:Alex Bojic-Aguilar<BR>Video Key Grip:Emmet Cahill<BR>Video 2nd Ac:Charlie Brunskill<BR>Video 1st Ac:Harry Coleman<BR>Video 1st Ad:Paolo De Battista<BR>Video Colorist:Loren White<BR>Video Steadicam:Marcus Albertsen<BR>Copyright:Central Cee<BR>Video Editor:Cole Bennett<BR>Associate Producer:Jake Millan<BR>Production Manager:Kofi Jr<BR>Video Director:Cole Bennett<BR>Release Date:July 21, 2022<BR>Doja Samples:Let Me Blow Ya Mind by Eve (Ft. Gwen Stefani)<BR>Doja Remixes:Doja (Extended) by Central Cee, Rubi (Doja Remix) by Rakz & Doja RMX by Delaruà","Doja Lyrics - July 21, 2022,Rap,Trap,Memes,Drill,UK Drill,UK,UK Rap"
"NIKI, Reske & 1 more","High school in jakarta Lyrics - August 5, 2022",English Lyrics,"High school in jakarta Lyrics - August 5, 2022 <BR><BR><BR>[Verse 1]<BR>Didn't you hear Amanda's movin' back to Colorado?<BR>It's 2013 and the end of my life<BR>Freshman's year's about to plummet just a little harder<BR>But it didn't 'cause we kissed on that Halloween night<BR>I bleached half my hair when I saw Zoe on your vespa<BR>It was orange from three percent peroxide, thanks to you<BR>I needed a good cry, I headed right to Kendra's<BR>I hated you and hoped to God that you knew<BR>[Pre-Chorus]<BR>Now there's drama (Drama)<BR>Found a club for that<BR>Where I met ya (Met ya)<BR>Had a heart attack<BR>Yadda, yadda<BR>At the end, yeah we burned, made a couplе U-turns<BR>You were it 'til you werеn't<BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Chorus]<BR>Highschool in Jakarta, sorta modern Sparta<BR>Had no chance against the teenage suburban armadas<BR>We were a sonata, thanks to tight-lipped fathers<BR>Yeah living under that was hard, but I loved you harder<BR>Highschool in Jakarta, an elaborate saga<BR>I still hate you for makin' me wish I came out smarter<BR>You love-hate mother? So do I<BR>Could've ended different, then again we went to high school in Jakarta<BR>[Verse 2]<BR>Got a group assignment, I'll be at Val's place<BR>You don't text at all and only call when you're off your face<BR>I'm petty and say, ""Call me when you're not unstable""<BR>I lie and tell you I'll be gettin' drunk at Rachel's<BR>[Pre-Chorus]<BR>I wasn't<BR>She doesn't even drink<BR>But I couldn't have you sit there and think<BR>That you're better, 'cause you're older<BR>Are you better, now that we're older?<BR>[Chorus]<BR>Highschool in Jakarta, sorta modern Sparta<BR>Had no chance against the teenage suburban armadas<BR>We were a sonata, thanks to tight-lipped fathers<BR>Yeah living under that was hard, but I loved you harder<BR>Highschool in Jakarta, an elaborate saga<BR>I still hate you for makin' me wish I came out smarter<BR>You love-hate mother? So do I<BR>Could've ended different, then again we went to high school in Jakarta<BR><BR><BR><BR>Produced By:NIKI, Reske & Jacob Ray<BR>Written By:NIKI<BR>Video Director:Isaac Ravishankara<BR>Composer:NIKI<BR>Mixing Engineer:Jeff Ellis Worldwide & Trevor Taylor<BR>Recording Engineer:Jacob Ray, Jasmine Chen & NIKI<BR>Mastering Engineer:Dale Becker<BR>Performance Rights:ASCAP<BR>Vocals:NIKI<BR>Distributor:88rising<BR>Copyright:88rising<BR>Label:88rising<BR>Publisher:88rising & Kobalt Music<BR>Release Date:August 5, 2022","High school in jakarta Lyrics - August 5, 2022,Pop"
,"Blackpink - ready for love (romanized) Lyrics - July 23, 2022",English Lyrics,"Blackpink - ready for love (romanized) Lyrics - July 23, 2022 <BR><BR><BR>[Intro: Rosé]<BR>Oneul harudo<BR>Nae meoritsogeun ojik Y-O-U<BR>Can't get you out of my head<BR>Bamsae biwonaen byeongui saegeun blue<BR>[Verse 1: Jisoo, Lisa]<BR>Yeah, neon dodaeche myeot beoneul nae mam gajyeoda beorin geonji molla<BR>Saenggagui gichaneun swiji anko dallyeoga bamsae mot ja<BR>Yeah, neon aswiul ttaeman<BR>Yeah, geujeo aswiul ttaeman nal<BR>Yeah, geurae aswiul ttaerado neoramyeon joeunikka<BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Pre-Chorus: Jennie, Rosé]<BR>Ijen gidaril gеotdo eopjana<BR>Geomnael pillyodo еopjana<BR>Ne simjangui saekkkareul boyeojwo<BR>Jeongmal nae sesangen nega pillyohae<BR>Du nuneul tteobwa ne ape<BR>Here I am<BR>[Chorus: Jennie, Rosé, Lisa]<BR>I'm ready for love<BR>Tell me when you ready 'cause I'm already ready (Ready, ready)<BR>Tell me when you ready 'cause I'm ready for love<BR>(Eh-eh-eh-eh-eh-eh-eh-eh-eh)<BR>I'm ready for love, I'm ready for love<BR>(Eh-eh-eh-eh-eh-eh-eh-eh-eh)<BR>I'm ready for love, I'm ready for love<BR>[Verse 2: Lisa]<BR>Ready or not, here I come and I'm running<BR>Like it's now or never, I never know if you want it<BR>What if love wasn't what it was supposed to be?<BR>What if there's no Romeo for me?<BR>No hope, no roses, no more notes to read<BR>So I keep my eyes closed to see<BR>What I need is forever and forever, baby, not sometimes<BR>When you want it, then you best come find me 'cause I'm ready<BR><BR><BR><BR>Release Date:July 23, 2022","Blackpink - ready for love (romanized) Lyrics - July 23, 2022,Pop,Romanized,Genius Korea"
"Luke Solomon, Honey Dijon & 5 more","Alien superstar Lyrics - July 29, 2022",English Lyrics,"Alien superstar Lyrics - July 29, 2022 <BR><BR><BR>[Intro]<BR>Please do not be alarmed, remain calm<BR>Do not attempt to leave the dance-floor<BR>The DJ booth is conducting a troubleshoot test of the entire system<BR>[Verse 1]<BR>I'm one of one, I'm number one, I'm the only one<BR>Don't even waste your time trying to compete with me (Don't do it)<BR>No one else in this world can think like me (True)<BR>I'm twisted (Twisted), I'll contradict it<BR>Keep him addicted, lies on his lips, I lick it<BR><BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Pre-Chorus]<BR>Unique<BR>That's what you are<BR>Stilеttos kicking vintage crystal off the bar<BR>Category: bad bitch, I'm thе bar<BR>Alien superstar<BR>Whip, whip<BR>[Chorus]<BR>I'm too classy for this world, forever, I'm that girl<BR>Feed you diamonds and pearls, ooh, baby<BR>I'm too classy to be touched, I paid them all in dust<BR>I'm stingy with my love, ooh, baby<BR>[Post-Chorus]<BR>I'm (U-N-I-Q-U-E)<BR>Ooh, I'm stingy with my love, ooh, baby<BR>I'm (U-N-I-Q-U-E)<BR>Ooh, I'm stingy with my love (Unique)<BR>[Verse 2]<BR>Unicorn is the uniform you put on<BR>Eyes on you when you perform<BR>Eyes on I when I put on<BR>Mastermind in haute couture<BR>Label whores can't clock, I'm so obscure (Unique)<BR>Masterpiece, genius<BR>Drip intravenous<BR>Patty cake on that wrist<BR>Tiffany Blue billboards over that ceiling (Unique)<BR>We don't like plain<BR>Always dreamed of paper planes<BR>Mile-high when I rodeo<BR>Then I come down and take off again (Unique)<BR>You see pleasure in my glare<BR>Look over my shoulder and you ain't scared<BR>The effects you have on me when you stare<BR>Head on a pillow, hike it in the air<BR><BR><BR><BR>Produced By:Luke Solomon, Honey Dijon, Chris Penny, Beyoncé, MIKE DEAN, The-Dream & NOVA WAV<BR>Written By:Beyoncé, Honey Dijon, MIKE DEAN, Blu June, Brittany Coney, JAY-Z, Lucky Daye, David Hamelin, Labrinth, 070 Shake, Rami, Leven Kali, Peter Rauhofer, Ka...<BR>A&R Director:Mariel Gomerez<BR>Vocal Producer:Beyoncé<BR>Synthesizer:The-Dream<BR>Recording Engineer:Chi Coney & Stuart White<BR>Keyboards:Chris Penny<BR>Programmer:Honey Dijon, Luke Solomon & Chris Penny<BR>Mastering Engineer:Colin Leonard<BR>Mixing Engineer:Stuart White<BR>Co-Producer:The-Dream & MIKE DEAN<BR>Background Vocals:Blu June<BR>Engineer:Andrea Roberts & John Cranfield<BR>Assistant Engineer:Matheus Braz<BR>Copyright:Parkwood Entertainment, Columbia Records & Sony Music Entertainment<BR>Label:Columbia Records<BR>Distributor:Sony Music Entertainment<BR>Release Date:July 29, 2022","Alien superstar Lyrics - July 29, 2022,Pop,R&B,Dance,Alternative Dance,Alternative Pop,Alternative,Alternative R&B,Dance-Pop"
"Cashmere Cat, Prince 85 & 3 more","Die for you Lyrics - November 25, 2016",English Lyrics,"Die for you Lyrics - November 25, 2016 <BR><BR><BR>[Verse 1]<BR>I'm findin' ways to articulate the feelin' I'm goin' through<BR>I just can't say I don't love you (Yeah)<BR>'Cause I love you, yeah<BR>It's hard for me to communicate the thoughts that I hold<BR>But tonight, I'm gon' let you know<BR>Let me tell the truth<BR>Baby, let me tell the truth, yeah<BR><BR>[Pre-Chorus]<BR>You know what I'm thinkin', see it in your eyes<BR>You hate that you want me, hate it when you cry<BR>You're scared to be lonely, 'specially in the night<BR>I'm scared that I'll miss you, happens every time<BR>I don't want this feelin', I can't afford love<BR>I try to find a reason to pull us apart<BR>It ain't workin' 'cause you're perfect<BR>And I know that you're worth it<BR>I can't walk away, oh<BR><BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Chorus]<BR>Even though we're goin' through it<BR>And it makes you feel alone<BR>Just know that I would die for you<BR>Baby, I would die for you, yeah<BR>The distance and the time between us<BR>It'll never change my mind 'cause<BR>Baby, I would die for you<BR>Baby, I would die for you, yeah (Say)<BR><BR>[Verse 2]<BR>I'm findin' ways to manipulate the feelin' you're goin' through<BR>But, baby girl, I'm not blamin' you<BR>Just don't blame me, too, yeah<BR>'Cause I can't take this pain forever<BR>And you won't find no one that's better<BR>'Cause I'm right for you, babe<BR>I think I'm right for you, babe<BR><BR>[Pre-Chorus]<BR>You know what I'm thinkin', see it in your eyes<BR>You hate that you want me, hate it when you cry<BR>It ain't workin' 'cause you're perfect<BR>And I know that you're worth it<BR>I can't walk away, oh<BR><BR><BR><BR>Produced By:Cashmere Cat, Prince 85, Cirkut, The Weeknd & Doc McKinney<BR>Written By:Cirkut, Billy Walsh, Cashmere Cat, Sir Dylan, Prince 85, Doc McKinney & The Weeknd<BR>Video Director:Christian Breslauer<BR>Video Casting:Sarah-May Levy<BR>Video Producer:Michael Breslauer<BR>Performance Rights:ASCAP, BMI, SACEM, SOCAN & TONO (PRO)<BR>Publisher:Anthem Entertainment, Karakoid Eurl, EMI Music Publishing Group, Cirkut Breaker, WMMW Publishing, Prescription Songs, Nyan King Music, Mykai Music, Ko...<BR>Copyright:XO Records, Republic Records & Universal Music Group<BR>Label:XO Records, Republic Records & Universal Music Group<BR>Co-Producer:Cashmere Cat & Prince 85<BR>Mixing Engineer:Șerban Ghenea & John Hanes<BR>Engineer:Josh Smith, Doc McKinney & Cirkut<BR>Synth Bass:Sir Dylan<BR>Additional Guitar:Psymun<BR>Release Date:November 25, 2016<BR>Die for You Covers:Die For You by Orin Inc. (Ft. Monet Helena)<BR>Die for You Remixes:Die for You (Remix) by The Weeknd (Ft. SZA)","Die for you Lyrics - November 25, 2016,R&B,Pop,Ambient,Electro-Pop,Dark Ambient,Dark Pop,Adult Alternative,Alternative Dance,Dance-Pop,Dance,Electronic,Alternative Pop,Alternative,Adult Contemporary,Alternative R&B,Ballad,Singer-Songwriter"
Shumno,"Стрелы (arrows) Lyrics - August 5, 2022",English Lyrics,"Стрелы (arrows) Lyrics - August 5, 2022 <BR><BR><BR>[Текст песни «Стрелы»]<BR>[Интро: Тося Чайкина]<BR>В сердце бахнули стрелы<BR>Я хочу, чтобы они мимо меня пролетели<BR>В сердце бахнули стрелы<BR>Но я хочу, чтобы они мимо меня пролетели<BR>[Припев: Тося Чайкина]<BR>(В сердце, в сердце, в сердце) В сердце бахнули стрелы<BR>Я хочу, чтобы они мимо меня пролетели<BR>В сердце бахнули стрелы<BR>Но я хочу, чтобы они мимо меня пролетели<BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Куплет 1: Markul]<BR>Ровно 4:20, мне так хорошо — я не хочу меняться<BR>Она любит Tiffany, хочет в Париж<BR>Но я где-то в Брикстоне — еду на движ<BR>Мой муд простой: не жить до зарплаты<BR>Деньги на стол кидаю лопатой<BR>Я не нашёл путь лучше для брата<BR>Да, я засыпал броук — проснулся богатым, Марк (На)<BR>[Бридж: Markul & Тося Чайкина]<BR>Ты танцуешь, как будто одна<BR>Но я делаю вид, что умею быть скромным (Я)<BR>Мы не скроемся точно, сколько не поменяли бы комнат (А)<BR>Я смотрю на тебя и жалею, что мы это даже не вспомним<BR>Но увы, это даже не спойлер<BR>Я снова услышу:<BR>Ты холодный снежный принц<BR>Внутри твоей груди красные языки, м<BR>И, отбившись от всех птиц, стрелы летят в меня<BR>Я падаю — лови<BR>[Припев: Тося Чайкина]<BR>(В сердце, в сердце, в сердце) В сердце бахнули стрелы<BR>Я хочу, чтобы они мимо меня пролетели<BR>В сердце бахнули стрелы<BR>Но я хочу, чтобы они мимо меня пролетели<BR><BR><BR><BR>Produced By:Shumno<BR>Written By:Markul, Тося Чайкина (Tosya Chaikina) & Shumno<BR>Mastering Engineer:Волознев Роман (Roman Voloznev)<BR>Mixing Engineer:Волознев Роман (Roman Voloznev)<BR>Primary Artists:Markul & Тося Чайкина (Tosya Chaikina)<BR>Artwork:Гриша Бровченко (Grisha Brovchenko)<BR>Copyright:FRWRD Music & Markul<BR>Release Date:August 5, 2022","Стрелы (arrows) Lyrics - August 5, 2022,Pop,Русский поп (Russian Pop),Россия (Russia)"
"Mike Viola, Jake Sinclair & 1 more","Local god Lyrics - August 5, 2022",English Lyrics,"Local god Lyrics - August 5, 2022 <BR><BR><BR>[Verse 1]<BR>In 1998, you bought a B.C. Rich<BR>You were a master shredder from the jump<BR>Blew them all away with the Ritalin<BR> kids<BR>While I was shedding through my sophomore slump<BR>You had so many chances to become a star<BR>But you never really cared about that<BR>[Chorus]<BR>Local God<BR>You'll live forever as a local God<BR>It's even better than the thing you're not<BR>Local God<BR>Local God<BR>You'll live forever as a local God<BR>You'll be remembered for the thing you're not<BR>Local God<BR><BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Verse 2]<BR>We signed a record deal at seventeen<BR>Hated by every local band<BR>They say we never paid our dues<BR>But what does that mean when money never changes hands?<BR>It's 2021 and I'm Almost Famous<BR>You never really cared about that<BR>[Chorus]<BR>Local God<BR>You'll live forever as a local God<BR>It's even better than the thing you're not<BR>Local God<BR>Local God<BR>You'll live forever as a local God<BR>You'll be remembered for the thing you're not<BR>Local God<BR><BR>[Bridge]<BR>Are you melting face at the Bellagio?<BR>Woah oh oh<BR>Or are you teaching little kids how to rock 'n' roll<BR>Woah oh oh<BR>Did you get weighed-down by your heart of gold?<BR>'Cos you really only cared about that<BR>Wonder if you had a chance to sell your soul<BR>Did you ever get your money back?<BR>Did you ever kiss the devil?<BR><BR><BR><BR>Produced By:Mike Viola, Jake Sinclair & Brendon Urie<BR>Written By:Brendon Urie, Jake Sinclair & Mike Viola<BR>Vocals:Brendon Urie<BR>Mastering Engineer:Bernie Grundman<BR>Mixing Engineer:Claudius Mittendorfer<BR>Recording Engineer:Rachel White & Claudius Mittendorfer<BR>Recorded At:United Studios<BR>Release Date:August 5, 2022","Local god Lyrics - August 5, 2022,Rock"
"No I.D., The-Dream & 2 more","Church girl Lyrics - July 29, 2022",English Lyrics,"Church girl Lyrics - July 29, 2022 <BR><BR><BR>[Intro]<BR>(Lord, make me)<BR>(Lord, place me)<BR>Ooh, ooh-ooh (I wanna be centered)<BR>Ooh-ooh (I wanna be centered)<BR>Ooh-ooh (I wanna be centered)<BR>(In thy will, will, will, will)<BR>[Verse 1]<BR>I've been up, I've been down<BR>Felt like I move mountains<BR>Got friends that cried fountains, oh<BR><BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Pre-Chorus]<BR>I'm warnin' everybody<BR>Soon as I get in this party<BR>I'm gon' let go of this body<BR>I'm gonna love on me<BR>Nobody can judge me but me (Ooh)<BR>I was born free (Ooh, ooh)<BR>[Chorus]<BR>I'll drop it like a thottie, drop it like a thottie<BR>I said now pop it like a thottie, pop it like a thottie (You bad)<BR>Me say now drop it like a thottie, drop it like a thottie (You bad)<BR>Church girls actin' loose, bad girls actin' snotty (You bad)<BR>Let it go, girl (Let it go), let it out, girl (Let it out)<BR>Twirl that ass like you came up out the South, girl (Ooh, ooh)<BR>I said now drop it like a thottie, drop it like a thottie (You bad)<BR>Bad girl actin' naughty, church girl, don't hurt nobody<BR>[Post-Chorus]<BR>You could be my daddy if you want to<BR>You, you could be my daddy if you want to<BR>You could get it tatted if you want to<BR>You, you could get it tatted if you want to (She ain't tryna hurt nobody)<BR>Put your lighters in the sky, get this motherfucker litty<BR>She gon' shake that ass and them pretty tig ol' bitties (Huh)<BR>So get your racks up (Word), get your math up (Huh)<BR>I'ma back it up (Uh), back it, back it up (Back it, back it up)<BR>I'ma buss it, buss it, buss it, buss it, actin' up (Actin' up)<BR>I see them grey sweats (Grey sweats), I see a blank check<BR><BR><BR><BR>Produced By:No I.D., The-Dream, Beyoncé & Stuart White<BR>Written By:Beyoncé, The-Dream, No I.D., Twinkie Clark, DJ Jimi, Derrick Robert Ordogne, James Brown, Orville “Bugs Can Can” Hall, Phil “Triggaman” Price, Ralph M...<BR>A&R Director:Mariel Gomerez<BR>Drums:Stuart White<BR>Vocal Producer:Beyoncé<BR>Programmer:The-Dream<BR>Recording Engineer:Brandon Harding & Stuart White<BR>Mastering Engineer:Colin Leonard<BR>Mixing Engineer:Stuart White<BR>Engineer:Andrea Roberts & John Cranfield<BR>Assistant Engineer:Matheus Braz<BR>Copyright:Parkwood Entertainment, Columbia Records & Sony Music Entertainment<BR>Label:Columbia Records<BR>Distributor:Sony Music Entertainment<BR>Release Date:July 29, 2022<BR>CHURCH GIRL Samples:Center of Thy Will by The Clark Sisters, Drag Rap by The Showboys & Think (About It) by Lyn Collins","Church girl Lyrics - July 29, 2022,Rap,R&B,Trap,Bounce"
Erik Ron,"All the things i hate about you Lyrics - July 29, 2022",English Lyrics,"All the things i hate about you Lyrics - July 29, 2022 <BR><BR><BR>[Intro]<BR>Haha<BR>[Verse 1]<BR>Take a bow<BR>You've got everybody fooled, I got you figured out<BR>Now you’re choking on your words, well, you should spit it out<BR>Know that I gave you the world and you just gave me hell<BR>And you gave me hell<BR>[Pre-Chorus]<BR>Felt like a hundred punches<BR>Too many tough pills to stomach<BR>I watched you making it public<BR>Lights, camera, fuck it<BR><BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Chorus]<BR>You're a showstopper<BR>A bad liar, homie-hopper, drama-starter<BR>All my friends are fucked, we all got you in common<BR>You're so fake and everyone should know about it<BR>And all the things I hate about you<BR>All the things I hate about you, yeah<BR>All the things I hate about the way you manipulate me<BR>Left me with no explanation<BR>Every word is true, all the things I hate about you<BR>[Post-Chorus]<BR>(All the things I hate about you)<BR>[Verse 2]<BR>You could’ve had a rockstar<BR>But you chose up on a bum-star<BR>Bootleg version of me, that's your loss<BR>Had to find out through a photo<BR>Hangin' on your arm like a knockoff<BR><BR>[Pre-Chorus]<BR>Stab me in the back like nothing<BR>Never even saw this comin'<BR>I watched you making it public<BR>Lights, camera, fuck it<BR><BR><BR><BR>Produced By:Erik Ron<BR>Written By:Huddy & Wes Period<BR>Distributor:The Orchard<BR>Copyright:Half Blood Records<BR>Label:Half Blood Records<BR>Video Director:Mooch<BR>Release Date:July 29, 2022","All the things i hate about you Lyrics - July 29, 2022,Pop,Rock,Alternative Rock,Alternative,Punk Rock,Pop-Punk"
​lawmevis & ​luvxomea,"Заберу (take) Lyrics - July 29, 2022",English Lyrics,"Заберу (take) Lyrics - July 29, 2022 <BR><BR><BR>[Текст песни «Заберу»]<BR>[Интро: uglystephan]<BR>Эй, bih', bih' (Ай), bih'<BR>​l-l-lawmevis (Эй)<BR>Эй-эй, эй-эй (luvxomea), у<BR>[Предприпев: uglystephan]<BR>А-у, мне всё равно, где ты: я заберу тебя в Москву<BR>С тобой правдив, а с другими суками ношу маску<BR>Если я в тебя влюблюсь, считай, ты попала в сказку<BR>И когда я внутри тебя, то ты кричишь:<BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Припев: Scally Milano, uglystephan & Оба]<BR>А-у (У-у, детка, я тебя хочу), а-у<BR>А-у (У-у, детка, я тебя хочу), а-у<BR>А-у (У-у, детка, я тебя хочу), а-у<BR>А-у (У-у, детка, я тебя хочу), а-у<BR>[Куплет 1: Scally Milano & uglystephan]<BR>Я хочу, чтоб ты меня любила, как ты любишь заны (Заны)<BR>Я хочу, чтоб ты была так близко, как мой нож в кармане (—мане)<BR>Я потрачу на тебя все деньги, куплю тебе камни<BR>Я буду дарить цветы тебе и твоей маме<BR>Но к сожалению, мы не станем парой, ведь мне важнее бабки<BR>Кладу все чувства на этот трек, ведь у меня в душе раны<BR>Лучше бы это не начинали, по ходу, было рано<BR>Ты нужна мне на одну ночь, и больше ничего не надо<BR>[Куплет 2: Scally Milano]<BR>Я могу написать книгу о комплиментах для тебя (У)<BR>Твоя пижама такая милая, но я хочу её снять (У)<BR>То, что мы делаем ночью, знает только лишь кровать (У)<BR>Я по тебе скучаю, я хочу очень тебя обнять<BR>Эй, детка, ты помнишь, когда я поднял первый миллион, ты приготовила торт?<BR>Я не мог чувствовать ничего, но я увидел тебя, я больше не мёртв<BR>Я хочу кончить в тебя, у меня есть желание, зайка, так нахуй аборт?<BR>Да, я не буду врать, ты охуенная, больше тебя люблю только сироп<BR><BR><BR><BR>Produced By:​lawmevis & ​luvxomea<BR>Written By:Scally Milano & ​uglystephan<BR>Label:Mansion Music<BR>Copyright:Mansion Music<BR>Distributor:Национальный Цифровой Агрегатор (National Digital Aggregator LLC)<BR>Artwork:​uglystephan & Scally Milano<BR>Mixing Engineer:DooMee<BR>Mastering Engineer:DooMee<BR>Primary Artists:Scally Milano & ​uglystephan<BR>Release Date:July 29, 2022","Заберу (take) Lyrics - July 29, 2022,Rap,Trap,Русский трэп (Russian Trap),Русский рэп (Russian Rap),Россия (Russia)"
The Nocturns,"Blonde Lyrics - August 5, 2022",English Lyrics,"Blonde Lyrics - August 5, 2022 <BR><BR><BR>[Intro]<BR>I'll fuck your life up as a blonde<BR>(I'll fuck your life up as a blonde)<BR>[Verse 1]<BR>Nothin' more frightenin' than a woman scorned<BR>And a box of bleach<BR>You said I'd never change, I bet you never thought<BR>I'd go so extreme<BR>I lost a couple of inches and then a couple more<BR>Startin' with you and every single thing you said to me<BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Chorus]<BR>Baby, if you thought that I was trouble<BR>Then you're gonna hate what's comin' next<BR>Kinda like your worst nightmare but double<BR>Is that an angel? No, it's your ex<BR>Remember how you screwed up when I was a brunette?<BR>I don't think you knew just what you'd done<BR>Woah, I'll fuck your life up as a blonde<BR>(I'll fuck your life up as a blonde)<BR>[Verse 2]<BR>I'm goin' Gwen Stefani, I'm goin' Courtney Love<BR>I'm headin' out of your league<BR>I'm gonna make your friends say, ""Man, you messed that up""<BR>And I would have to agree<BR>Had some emotional baggage, oh, but I cut it off<BR>Startin' with you and every single thing you said to me<BR>Ending with you just wanna talk but I'm just never free<BR>[Chorus]<BR>Baby, if you thought that I was trouble<BR>Then you're gonna hate what's comin' next<BR>Kinda like your worst nightmare but double<BR>Is that an angel? No, it's your ex<BR>Remember how you screwed up when I was a brunette?<BR>I don't think you knew just what you'd done<BR>Woah, I'll fuck your life up as a blonde<BR>(I'll fuck your life up as a blonde)<BR><BR><BR><BR>Produced By:The Nocturns<BR>Written By:Maisie Peters, Charlie Martin, Pablo Bowman & Richard Boardman<BR>Recorded At:UK<BR>Release Date:August 5, 2022","Blonde Lyrics - August 5, 2022,Pop,UK"
