Date,Title,Categories,Lyrics,Tag
"

August 3, 2022","Happiness Lyrics - 

Matthew Healy, George Daniel , 1 more",English Lyrics,"Happiness Lyrics - 

Matthew Healy, George Daniel , 1 more <BR><BR><BR>[Intro]<BR>Confidence is comical<BR>An' I'm, an' I'm happy<BR>That's what I like<BR>I'm happiest when I'm doing something that I know is good<BR>That's happiness for me<BR>I'm happiest when I'm doing something that I know is good<BR>That's happiness for me<BR>[Verse 1]<BR>She showed me what love is<BR>I'm actin' like I know myself<BR>Oh, in case you didn't notice<BR>Oh, oh, I would go blind just to see you<BR>I'd go too far just to have you near<BR>In my soul, I've got this feeling I<BR>Didn't know it 'til I seen ya<BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Break]<BR>My, my, my, oh<BR>My, my, my, you<BR>Mind my mind, you<BR>Mind my mind, oh<BR>My, my, my, you<BR>Mind my mind, oh<BR>My, my, my, she's insatiable, it's what she is<BR>[Verse 2]<BR>Her body's like a modern art<BR>Take it out in front of me<BR>I've gotta stop messin' it up because I'm<BR>Feelin' like I'm messin' it up because I'm<BR>Callin' out your name and God help me 'cause<BR>Oh, I'm never gonna love again, hey<BR>I'm never gonna love again, hey, oh<BR>[Chorus]<BR>Show me your love, why don't you?<BR>Grow up and see<BR>Show me your love, why don't you?<BR>Grow up and see<BR>Show me your love, why don't you?<BR>Grow up and see<BR>Show me your love, why don't you?<BR><BR><BR><BR>Produced By:Matthew Healy, George Daniel & Jack Antonoff<BR>Written By:George Daniel, Matthew Healy, Jenifer Starar & Stephen Ellen Starar<BR>Vocals:Matthew Healy<BR>Guitar:Adam Hann & Matthew Healy<BR>Bass:Ross MacDonald<BR>Drums:George Daniel<BR>Programmer:George Daniel<BR>Mixing Engineer:Chris Galland & Manny Marroquin<BR>Mastering Engineer:Robin Schmidt<BR>Label:Dirty Hit<BR>Release Date:August 3, 2022<BR>Happiness Remixes:Happiness (Dance Floor Edit) by The 1975","Happiness Lyrics - 

Matthew Healy, George Daniel , 1 more,Pop,Rock,Funk Rock,Funk-Pop,Funk,Synth Rock,Synth-Pop,Synth Funk,Pop-Rock,New Wave,UK"
"

August 5, 2022","Staying alive Lyrics - 

Nyan (Producer) , Tim Suby",English Lyrics,"Staying alive Lyrics - 

Nyan (Producer) , Tim Suby <BR><BR><BR>[Chorus: Drake & DJ Khaled]<BR>Try me a hunnid times<BR>Wanted me to lie, wanted me to cry, wanted me to die (Real life)<BR>Ah, ah, ah, I'm stayin' alive, I'm stayin' alive, I'm stayin' alive, I'm stayin' alive<BR>Another one, yeah<BR>Try me a hunnid times<BR>Wanted me to lie, wanted me to cry, wanted me to die (DJ Khaled)<BR>Ah, ah, ah, I'm stayin' alive, I'm stayin' alive, I'm stayin' alive, I'm stayin' alive<BR><BR>[Verse 1: Drake]<BR>How she in love and she been over once?<BR>It's not like I known her for months<BR>This life, it allowed me to take what I want<BR>It's not like I know what I want<BR>It's not like I know what I need<BR>I get some time, but there's no guarantees<BR>When I was broke, she was bein' a tease<BR>Four pockets full, now she down on her knees<BR>Woah, woah, woah-ooh, woah<BR>Baby gon' hit it and send her to me, yeah<BR>Or I'ma hit it and send it to Baby<BR>That's how I'm givin', this life get too crazy<BR>Woah, woah, for real, for real, woah<BR>They tryna seal the deal, see me up under the sheet<BR>Parading the streets, yeah<BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Chorus: Drake & Lil Baby]<BR>Try me a hunnid times<BR>Wanted me to lie, wanted me to cry, wanted me to die<BR>Ah, ah, ah, I'm stayin' alive, I'm stayin' alive, I'm stayin' alive, I'm stayin' alive<BR>Yeah<BR>Try me a hunnid times<BR>Wanted me to lie, wanted me to cry, wanted me to die<BR>Ah, ah, ah, I'm stayin' alive, I'm stayin' alive, I'm stayin' alive, I'm stayin' alive, for real (Oh, yeah)<BR>For real, for real<BR>[Verse 2: Lil Baby]<BR>I put my feelings aside, you want me to die? But baby, I'm stayin' alive<BR>'Posed to be one of a kind, you puttin' no miles, I thought you was down for the ride<BR>I'm tryna turn up her style, we goin' Chanel, she get everything in her size<BR>She in some shit with another guy, I don't even care, whenever I see you, you mine<BR>Drizzy hit her then he send her to me<BR>I don't talk, definition of P<BR>Hood nigga turned superstar, but I fuck her good like I'm still in the streets<BR>No response, you can see that I read it<BR>I'm with all, they won't ever go read it<BR>She be happy if I fell off, and I'm still there, they're gon' have to accept it<BR>[Chorus: Drake & Lil Baby]<BR>Try me a hunnid times<BR>Wanted me to lie, wanted me to cry, wanted me to die<BR>Ah, ah, ah, I'm stayin' alive, I'm stayin' alive, I'm stayin' alive, I'm stayin' alive<BR>Try me a hunnid times<BR>Wanted me to lie, wanted me to cry, wanted me to die (Wanted me to die)<BR>Ah, ah, ah, I'm stayin' alive, I'm stayin' alive, I'm stayin' alive, I'm stayin' alive, for real<BR>For real, for real<BR><BR><BR><BR>Featuring:Drake & Lil Baby<BR>Produced By:Nyan (Producer) & Tim Suby<BR>Written By:DJ Khaled, Drake, Lil Baby, Nyan (Producer), Tim Suby, Barry Gibb, Maurice Gibb & Robin Gibb<BR>Co-Producer:Tim Suby<BR>Recording Engineer:Noel Cadastre<BR>Video Director:Rt<BR>Copyright:We The Best Music, Epic Records & Sony Music Entertainment<BR>Release Date:August 5, 2022","Staying alive Lyrics - 

Nyan (Producer) , Tim Suby,Rap,Atlanta Rap,Canada,Trap"
"

August 5, 1985","Running up that hill (a deal with god) Lyrics - 

Kate Bush",English Lyrics,"Running up that hill (a deal with god) Lyrics - 

Kate Bush <BR><BR><BR>[Verse 1]<BR>It doesn't hurt me (Ye-yeah, yeah, yo)<BR>Do you want to feel how it feels? (Ye-yeah, yeah, yo)<BR>Do you want to know, know that it doesn't hurt me? (Ye-yeah, yeah, yo)<BR>Do you want to hear about the deal that I'm making? (Ye-yeah, yeah, yo)<BR><BR>[Pre-Chorus]<BR>You<BR>It's you and me<BR>[Chorus]<BR>And if I only could<BR>I'd make a deal with God<BR>And I'd get him to swap our places<BR>Be running up that road<BR>Be running up that hill<BR>Be running up that building<BR>Say, if I only could, oh<BR><BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Verse 2]<BR>You don't wanna hurt me (Ye-yeah, yeah, yo)<BR>But see how deep the bullet lies (Ye-yeah, yeah, yo)<BR>Unaware, I'm tearing you asunder (Ye-yeah, yeah, yo)<BR>Oh, there is thunder in our hearts (Ye-yeah, yeah, yo)<BR>Is there so much hate for the ones we love? (Ye-yeah, yeah, yo)<BR>Oh, tell me, we both matter, don't we? (Ye-yeah, yeah, yo)<BR><BR>[Pre-Chorus]<BR>You<BR>It's you and me<BR>It's you and me, won't be unhappy<BR>[Chorus]<BR>And if I only could<BR>I'd make a deal with God<BR>And I'd get him to swap our places<BR>Be running up that road<BR>Be running up that hill<BR>Be running up that building (Ye-yo)<BR>Say, if I only could, oh<BR><BR>[Pre-Chorus]<BR>You (Ye-yeah, yeah, yo)<BR>It's you and me<BR>It's you and me, won't be unhappy (Ye-yeah, yeah, yo)<BR><BR><BR><BR>Produced By:Kate Bush<BR>Written By:Kate Bush<BR>Performance Rights:BMI<BR>Licensing:LatinAutor - UMPG, Universal Music Group, UBEM, LatinAutor - SonyATV, CMRRA, BMI, LatinAutorPerf, SOLAR Music Rights Management, LatinAutor, Sony Musi...<BR>Video Director:David Garfath<BR>Label:EMI (Label)<BR>Remastering Engineer:James Guthrie, Kate Bush & Chris Blair<BR>Artwork:Bill Smith Studio<BR>Photography:John Carder Bush<BR>Lyricist:Kate Bush<BR>Vocals:Kate Bush<BR>Keyboards:Kate Bush<BR>Balalaika:Paddy Bush<BR>Bass:Del Palmer<BR>Drums:Stuart Elliott<BR>Publisher:EMI Music Publishing Group & Noble and Brite Ltd.<BR>Guitar:Alan Murphy<BR>Mastering Engineer:Ian Cooper<BR>Mixing Engineer:Brian Tench<BR>Assistant Engineer:Pearse Dunne<BR>Engineer:Del Palmer, Bill Somerville-Large, Brian Tench, Haydn Bendall, James Guthrie, Nigel Walker & Paul Hardiman<BR>Programmer:Del Palmer<BR>Recorded At:Wickham Farm Home Studio<BR>Release Date:August 5, 1985","Running up that hill (a deal with god) Lyrics - 

Kate Bush,Pop,Rock,Avant Garde,Art Rock,Adult Contemporary,Baroque Pop,Singer-Songwriter,Alternative Pop,Alternative,Avant-Pop,Pop-Rock,Adult Alternative,Eighties,British Rock,UK,Synth-Pop,New Wave,Art Pop"
"

August 5, 2022","Local god Lyrics - 

Mike Viola, Jake Sinclair , 1 more",English Lyrics,"Local god Lyrics - 

Mike Viola, Jake Sinclair , 1 more <BR><BR><BR>[Verse 1]<BR>In 1998, you bought a B.C. Rich<BR>You were a master shredder from the jump<BR>Blew them all away with the Ritalin<BR> kids<BR>While I was shedding through my sophomore slump<BR>You had so many chances to become a star<BR>But you never really cared about that<BR>[Chorus]<BR>Local God<BR>You'll live forever as a local God<BR>It's even better than the thing you're not<BR>Local God<BR>Local God<BR>You'll live forever as a local God<BR>You'll be remembered for the thing you're not<BR>Local God<BR><BR>SleazyWorld Go “Sleazy Flow” (Live Performance) | Open Mic<BR>[Verse 2]<BR>We signed a record deal at seventeen<BR>Hated by every local band<BR>They say we never paid our dues<BR>But what does that mean when money never changes hands?<BR>It's 2021 and I'm almost famous<BR>You never really cared about that<BR>[Chorus]<BR>Local God<BR>You'll live forever as a local God<BR>It's even better than the thing you're not<BR>Local God<BR>Local God<BR>You'll live forever as a local God<BR>You'll be remembered for the thing you're not<BR>Local God<BR><BR>[Bridge]<BR>Are you melting face at the Bellagio?<BR>Woah<BR>Or are you teaching little kids how to rock 'n' roll<BR>Woah<BR>Did you get weighed down by your heart of gold?<BR>'Cause you really only cared about that<BR>Wonder if you had a chance to sell your soul<BR>Did you ever get your money back?<BR>Did you ever kiss the devil?<BR><BR><BR><BR>Produced By:Mike Viola, Jake Sinclair & Brendon Urie<BR>Written By:Brendon Urie, Jake Sinclair & Mike Viola<BR>Vocals:Brendon Urie<BR>Mastering Engineer:Bernie Grundman<BR>Mixing Engineer:Claudius Mittendorfer<BR>Recording Engineer:Rachel White & Claudius Mittendorfer<BR>Recorded At:United Studios<BR>Release Date:August 5, 2022","Local god Lyrics - 

Mike Viola, Jake Sinclair , 1 more,Rock"
