Date,Title,Categories,Lyrics,Tag
,,English Lyrics,"<h2 style=""text-align: center;""></h2> <BR><BR><BR><p style=""text-align: center;"">[Verse 1]<BR>I met you in the dark, you lit me up<BR>You made me feel as though I was enough<BR><BR>We danced the night away, we drank too much<BR>I held your hair back when you were throwin' up<BR><BR><BR>[Pre-Chorus]<BR>Then, you smiled over your shoulder<BR>For a minute, I was stone-cold sober<BR>I pulled you closer to my chest<BR>And you asked me to stay over<BR>I said, ""I already told ya<BR>I think that you should get some rest""<BR><BR><BR>Paramore “Running Out Of Time' Official Lyrics & Meaning | Verified<BR>[Chorus]<BR>I knew I loved you then, but you'd never know<BR>'Cause I played it cool when I was scared of letting go<BR>I knew I needed you, but I never showed<BR>But I wanna stay with you until we're grey and old<BR><BR><BR>[Post-Chorus]<BR>Just say you won't let go<BR>Just say you won't let go<BR><BR>[Verse 2]<BR>I'll wake you up with some breakfast in bed<BR>I'll bring you coffee with a kiss on your head<BR><BR>And I'll take the kids to school, wave them goodbye<BR>And I'll thank my lucky stars for that night<BR><BR><BR>[Pre-Chorus]<BR>When you looked over your shoulder<BR>For a minute, I forget that I'm older<BR>I wanna dance with you right now, woah<BR><BR>And you look as beautiful as ever<BR>And I swear that every day, you'll get better<BR>You make me feel this way somehow<BR><BR><BR>[Chorus]<BR>I'm so in love with you and I hope you know<BR>Darlin', your love is more than worth its weight in gold<BR>We've come so far, my dear, look how we've grown<BR>And I wanna stay with you until we're grey and old[Post-Chorus]<BR>Just say you won't let go<BR>Just say you won't let go<BR><BR>[Bridge]<BR>I wanna live with you even when we're ghosts<BR>'Cause you were always there for me when I needed you most<BR><BR><BR>[Chorus]<BR>I'm gonna love you till my lungs give out<BR>I promise till death we part, like in our vows<BR>So, I wrote this song for you, now everybody knows<BR>That it's just you and me till we're grey and old<BR><BR><BR>[Post-Chorus]<BR>Just say you won't let go<BR>Just say you won't let go<BR>Just say you won't let go<BR>Oh, just say you won't let go</p><BR><BR><BR><BR><blockquote>Produced By:Alex Beitzke, Bradley Spence & Steve Solomon</blockquote>",",R&B,Pop,UK Pop,UK R&B,Alternative R&B,Adult Contemporary,Easy Listening,Acoustic,Singer-Songwriter,Ballad,UK"
,,English Lyrics,"<h2 style=""text-align: center;""></h2> <BR><BR><BR><p style=""text-align: center;"">[Verse 1]<BR>Guess I needed some time to get away<BR>I needed some peace of mind, some peace of mind that'll stay<BR><BR>So, I thumbed it down to 6th in L.A<BR>Maybe a Greyhound could be my way<BR><BR>Police and niggers, that's right, get out of my way<BR><BR>Don't need to buy none of your gold chains today<BR><BR>Now, don't need no bracelets clamped in front of my back<BR><BR>Just need my ticket, 'til then, won't you cut me some slack?<BR><BR>[Chorus]<BR>You're one in a million, yeah, that's what you are<BR>You're one in a million, babe, you're a shooting star<BR>Maybe someday we'll see you before you make us cry<BR>You know we tried to reach you, but you were much too high<BR>Much too high, much too high, much too high<BR><BR>Paramore “Running Out Of Time' Official Lyrics & Meaning | Verified<BR>[Verse 2]<BR>Immigrants and faggots, they make no sense to me<BR>They come to our country and think they'll do as they please<BR>Like start some mini Iran, or spread some fucking disease<BR>They talk so many God damn ways, it's all Greek to me<BR><BR>Well, some say I'm lazy and others say that's just me<BR>Some say I'm crazy, I guess I'll always be<BR><BR>But, it's been such a long time since I knew right from wrong<BR>It's all the means to and end, I-I keep it moving along<BR>Hey, hey, hey, yeah<BR><BR>[Chorus]<BR>You're one in a million, yeah, you're a shooting star<BR>You're one in a million, babe, you know that you are<BR>Maybe some day we'll see you before you make us cry<BR>You know we tried to reach you, but you were much too high<BR>Much too high, much too high, much too high, oh<BR><BR>[Guitar Solo]<BR><BR>[Verse 3]<BR>Radicals and racists, don't point your finger at me<BR><BR>I'm a small town white boy just trying to make ends meet<BR>Don't need your religion, don't watch that much TV<BR>Just making my living, baby, well, that's enough for me[Chorus]<BR>You're one in a million, yeah, you know that you are<BR>You're one in a million, babe, you're a shooting star<BR>Maybe someday we'll see you before you make us cry<BR>You know we tried to reach you, but you were much too high<BR>Much too high, much too high, oh, much too high<BR><BR>[Outro]<BR>Much too high, much too high, much too high<BR>Much too high, much too high, much too high</p><BR><BR><BR><BR><blockquote>Produced By:Mike Clink</blockquote>",",Pop,Rock,Eighties,Ballad,Pop-Rock,Acoustic"
,,English Lyrics,"<h2 style=""text-align: center;""></h2> <BR><BR><BR><p style=""text-align: center;"">[Verse 1]<BR>I'm still a fan even though I was salty<BR>Hate to see you with some other broad, know you happy<BR>Hate to see you happy if I'm not the one drivin'<BR><BR><BR>[Pre-Chorus]<BR>I'm so mature, I'm so mature<BR><BR>I'm so mature, I got me a therapist to tell me there's other men<BR><BR>I don't want none, I just want you<BR>If I can't have you, no one should, I might<BR><BR>Paramore “Running Out Of Time' Official Lyrics & Meaning | Verified<BR>[Chorus]<BR>I might kill my ex, not the best idea<BR>His new girlfriend's next, how'd I get here?<BR>I might kill my ex, I still love him, though<BR><BR>Rather be in jail than alone<BR><BR><BR>[Verse 2]<BR>I get the sense that it's a lost cause<BR>I get the sense that you might really love her<BR>The text gon' be evidence, this text is evidence<BR>I try to ration with you, no murders, no crime of passion<BR>But, damn, you was out of reach<BR>You was at the farmer's market with your perfect peach<BR><BR>Now I'm in amazement, playin' on my patience<BR>Now you layin' face-down, got me singin' over a beat<BR><BR>[Pre-Chorus]<BR>I'm so mature, I'm so mature<BR><BR>I'm so mature, I got me a therapist to tell me there's other men<BR><BR>I don't want none, I just want you<BR>If I can't have you, no one will, I (I might)<BR><BR>[Chorus]<BR>I might kill my ex, not the best idea<BR>His new girlfriend's next, how'd I get here?<BR>I might kill my ex, I still love him, though<BR><BR>Rather be in jail than alone[Bridge]<BR>I did it all for love (Love)<BR>I did it all on no drugs (Drugs)<BR>I did all of this sober<BR>I did it all for us, oh<BR>I did it all for love (Love)<BR>I did all of this on no drugs (Drugs)<BR>I did all of this sober<BR>Don't you know I did it all for us? (I'm gon' kill your ass tonight)<BR><BR><BR>[Chorus]<BR>Oh, I just killed my ex, not the best idea (Idea)<BR>Killed his girlfriend next, how'd I get here?<BR>I just killed my ex, I still love him, though (I do)<BR><BR>Rather be in hell than alone</p><BR><BR><BR><BR><blockquote>Produced By:Carter Lang & Rob Bisel</blockquote>",",Pop,Alternative R&B,Alternative Pop,Psychedelic,Bedroom Pop,Trip-Hop"
,,English Lyrics,"<h2 style=""text-align: center;""></h2> <BR><BR><BR><p style=""text-align: center;"">[Verse 1: Stephen Sanchez]<BR>Georgia<BR>Wrap me up in all your—<BR><BR>I want ya<BR>In my arms, oh, let me<BR>Hold ya<BR>I'll never let you go again<BR>Like I did<BR>Oh, I used to say<BR><BR>[Chorus: Stephen Sanchez & Georgia Brown]<BR>""I would never fall in love again until I found her""<BR><BR>I said, ""I would never fall, unless it's you I fall into""<BR>I was lost within the darkness, but then I found her<BR><BR>I found you<BR><BR>Paramore “Running Out Of Time' Official Lyrics & Meaning | Verified<BR>[Verse 2: Stephen Sanchez & Georgia Brown]<BR>Georgia<BR>Pulled me in, I asked to<BR>Love her<BR>Once again, you fell, I<BR>Caught ya<BR>I'll never let you go again<BR>Like I did<BR>Oh, I used to say<BR><BR>[Chorus: Stephen Sanchez & Georgia Brown]<BR>""I would never fall in love again until I found her""<BR><BR>I said, ""I would never fall unless it's you I fall into""<BR>I was lost within the darkness, but then I found her<BR><BR>I found you<BR><BR>[Guitar Solo]<BR><BR>[Chorus: Stephen Sanchez & Georgia Brown]<BR>""I would never fall in love again until I found her""<BR><BR>I said, ""I would never fall unless it's you I fall into""<BR>I was lost within the darkness, but then I found her<BR><BR>I found you</p><BR><BR><BR><BR><blockquote>Produced By:Konrad Snyder & Ian Fitchuk</blockquote>",",Pop,Acoustic,Ballad,Singer-Songwriter,Bedroom Pop,Soft Rock,Alternative Pop,Alternative"
